Company,Website,Instagram,LinkedIn,Contact Name,Job Title,Email,Phone,Country,City,Product Type,Current Packaging Quality,Lead Source,First Message Sent,Follow-up 1,Follow-up 2,Follow-up 3,Status,Next Action Date,Notes
"Afro Centric Network","http://www.iamafrocentric.com/","https://instagram.com/afrocentric_network","","","","","","United States","Atlanta","body oils, butters and body care","ok - functional branded packaging is visible, with room for stronger custom cartons, bundles or mailers.","https://www.theindexbeauty.com/atlanta/brands/afro-centric-network","","","","","","","DM DRAFT: Hi Afro Centric Network team - I was looking at the body oils and butters from Afro Centric Network, and the product story comes through clearly. If you're planning another launch or bundle, we can help with low-MOQ custom boxes and mailers from 50 plus free design support; open to a quick packaging idea? | LEAD SCORE: Hot"
"Cecily Skincare","http://cecilyskincare.com/","https://instagram.com/cecilyskincare","","","","","404-954-2252","United States","Atlanta","skincare","ok - functional branded packaging is visible, with room for stronger custom cartons, bundles or mailers.","https://www.theindexbeauty.com/atlanta/brands/cecily-skincare","","","","","","","DM DRAFT: Hi Cecily Skincare team - I was looking at the all-natural skincare range from Cecily Skincare, and the product story comes through clearly. If you're planning another launch or bundle, we can help with low-MOQ custom boxes and mailers from 50 plus free design support; open to a quick packaging idea? | LEAD SCORE: Hot"
"LIT Essentials","http://www.lit-essentials.com/","https://instagram.com/l.i.t.essentials","","","","","","United States","Atlanta","body oils, butters and body care","ok - functional branded packaging is visible, with room for stronger custom cartons, bundles or mailers.","https://www.theindexbeauty.com/atlanta/brands/lit-essentials","","","","","","","DM DRAFT: Hi LIT Essentials team - I was looking at the handmade bath, body-care and essential-oil kits from LIT Essentials, and the product story comes through clearly. If you're planning another launch or bundle, we can help with low-MOQ custom boxes and mailers from 50 plus free design support; open to a quick packaging idea? | LEAD SCORE: Hot"
"The Galore Beauty Brand","http://thegalorebeautybrand.com/","https://instagram.com/thegalorebeautybrand","","","","","","United States","Atlanta","skincare","ok - functional branded packaging is visible, with room for stronger custom cartons, bundles or mailers.","https://www.theindexbeauty.com/atlanta/brands/the-galore-beauty-brand","","","","","","","DM DRAFT: Hi The Galore Beauty Brand team - I was looking at the vegan skincare and cosmetics range from The Galore Beauty Brand, and the product story comes through clearly. If you're planning another launch or bundle, we can help with low-MOQ custom boxes and mailers from 50 plus free design support; open to a quick packaging idea? | LEAD SCORE: Hot"
"The Organic Cottage","http://theorganiccottage.com/","https://instagram.com/theorganiccottage_","","","","theofficialorganiccottage@gmail.com","","United States","Atlanta","skincare","ok - functional branded packaging is visible, with room for stronger custom cartons, bundles or mailers.","https://www.theindexbeauty.com/atlanta/brands/the-organic-cottage","","","","","","","DM DRAFT: Hi The Organic Cottage team - I was looking at the handcrafted soaps, body creams and face oils from The Organic Cottage, and the product story comes through clearly. If you're planning another launch or bundle, we can help with low-MOQ custom boxes and mailers from 50 plus free design support; open to a quick packaging idea? | LEAD SCORE: Hot"
"Bonnie Skincare","https://www.shopbonnieskincare.com/","https://instagram.com/shopbonnieskincare","","","","hello@shopbonnieskincare.com","13124361515","United States","Chicago","skincare","ok - functional branded packaging is visible, with room for stronger custom cartons, bundles or mailers.","https://www.theindexbeauty.com/chicago/brands/bonnie-skincare","","","","","","","DM DRAFT: Hi Bonnie Skincare team - I was looking at the small-batch skincare range from Bonnie Skincare, and the product story comes through clearly. If you're planning another launch or bundle, we can help with low-MOQ custom boxes and mailers from 50 plus free design support; open to a quick packaging idea? | LEAD SCORE: Hot"
"Chicago Skin Science","http://myskinscience.co/","https://instagram.com/chicagoskinscience","","","","","3126004525","United States","Chicago","skincare","ok - functional branded packaging is visible, with room for stronger custom cartons, bundles or mailers.","https://www.theindexbeauty.com/chicago/brands/chicago-skin-science","","","","","","","DM DRAFT: Hi Chicago Skin Science team - I was looking at the dermatologist-curated skincare line from Chicago Skin Science, and the product story comes through clearly. If you're planning another launch or bundle, we can help with low-MOQ custom boxes and mailers from 50 plus free design support; open to a quick packaging idea? | LEAD SCORE: Hot"
"Chicago Soapery and Apothecary LLC","http://chicagosoapery.com/","https://instagram.com/chicagosoapery","","","","","","United States","Chicago","body oils, butters and body care","ok - functional branded packaging is visible, with room for stronger custom cartons, bundles or mailers.","https://www.theindexbeauty.com/chicago/brands/chicago-soapery-and-apothecary-llc","","","","","","","DM DRAFT: Hi Chicago Soapery and Apothecary LLC team - I was looking at the handmade soaps, lotions and body butters from Chicago Soapery and Apothecary LLC, and the product story comes through clearly. If you're planning another launch or bundle, we can help with low-MOQ custom boxes and mailers from 50 plus free design support; open to a quick packaging idea? | LEAD SCORE: Hot"
"Distinct Bath and Body","http://www.distinctbath.com/","https://instagram.com/distinctbathandbody","","","","","","United States","Chicago","skincare","ok - functional branded packaging is visible, with room for stronger custom cartons, bundles or mailers.","https://www.theindexbeauty.com/chicago/brands/distinct-bath-and-body","","","","","","","DM DRAFT: Hi Distinct Bath and Body team - I was looking at the small-batch soaps and skincare from Distinct Bath and Body, and the product story comes through clearly. If you're planning another launch or bundle, we can help with low-MOQ custom boxes and mailers from 50 plus free design support; open to a quick packaging idea? | LEAD SCORE: Hot"
"Light + Love Soaps","https://light-love-soaps.square.site/","https://instagram.com/https://www.instagram.com/soap_lightandlove","","","","","","United States","Chicago","body oils, butters and body care","ok - functional branded packaging is visible, with room for stronger custom cartons, bundles or mailers.","https://www.theindexbeauty.com/chicago/brands/light-love-soaps","","","","","","","DM DRAFT: Hi Light + Love Soaps team - I was looking at the plant-based small-batch soaps from Light + Love Soaps, and the product story comes through clearly. If you're planning another launch or bundle, we can help with low-MOQ custom boxes and mailers from 50 plus free design support; open to a quick packaging idea? | LEAD SCORE: Hot"
